A0A075B6H9	Immunoglobulin lambda variable 4-69
Q7Z444	GTPase ERas
Q7Z449	Cytochrome P450 2U1
Q7Z460	CLIP-associating protein 1
Q7Z465	Bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein
Q7Z478	ATP-dependent RNA helicase DHX29
Q7Z494	Nephrocystin-3
Q7Z4B0	Putative uncharacterized protein encoded by LINC00305
Q7Z4F1	Low-density lipoprotein receptor-related protein 10
Q7Z4G1	COMM domain-containing protein 6
Q7Z4G4	tRNA (guanine(10)-N2)-methyltransferase homolog
Q7Z4H3	HD domain-containing protein 2
Q7Z4H4	ADM2
Q7Z4H7	HAUS augmin-like complex subunit 6
Q7Z4H8	KDEL motif-containing protein 2
Q7Z4H9	Protein FAM220A
Q7Z4I7	LIM and senescent cell antigen-like-containing domain protein 2
Q7Z4J2	Glycosyltransferase 6 domain-containing protein 1
Q7Z4K8	Tripartite motif-containing protein 46
Q7Z4L0	Cytochrome c oxidase subunit 8C, mitochondrial
Q7Z4L5	Tetratricopeptide repeat protein 21B
Q7Z4L9	Protein phosphatase 1 regulatory subunit 42
Q7Z4M0	Meiotic recombination protein REC114
Q7Z4N2	Transient receptor potential cation channel subfamily M member 1
Q7Z4N8	Prolyl 4-hydroxylase subunit alpha-3
Q7Z4P5	Growth/differentiation factor 7
Q7Z4Q2	HEAT repeat-containing protein 3
Q7Z4R8	UPF0669 protein C6orf120
Q7Z4S6	Kinesin-like protein KIF21A
Q7Z4S9	SH2 domain-containing protein 6
Q7Z4T8	Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5
Q7Z4T9	Cilia- and flagella-associated protein 91
Q7Z4U5	Uncharacterized protein C6orf201
Q7Z4V0	Zinc finger protein 438
Q7Z4V5	Hepatoma-derived growth factor-related protein 2
Q7Z4W1	L-xylulose reductase
Q7Z4W2	Lysozyme-like protein 2
Q7Z4W3	Keratin-associated protein 19-3
Q7Z4Y8	ATP synthase subunit g 2, mitochondrial
Q7Z553	MAM domain-containing glycosylphosphatidylinositol anchor protein 2
Q7Z569	BRCA1-associated protein
Q7Z570	Zinc finger protein 804A
Q7Z572	Spermatogenesis-associated protein 21
Q7Z589	BRCA2-interacting transcriptional repressor EMSY
Q7Z591	AT-hook-containing transcription factor
Q7Z5A4	Serine protease 42
Q7Z5A7	Protein FAM19A5
Q7Z5A8	Protein FAM19A3
Q7Z5A9	Protein FAM19A1
Q7Z5B4	Protein RIC-3
Q7Z5D8	NANOG neighbor homeobox
Q7Z5G4	Golgin subfamily A member 7
Q7Z5H3	Rho GTPase-activating protein 22
Q7Z5H4	Vomeronasal type-1 receptor 5
Q7Z5H5	Vomeronasal type-1 receptor 4
Q7Z5J1	Hydroxysteroid 11-beta-dehydrogenase 1-like protein
Q7Z5J4	Retinoic acid-induced protein 1
Q7Z5J8	Ankyrin and armadillo repeat-containing protein
Q7Z5K2	Wings apart-like protein homolog
Q7Z5L0	Vitelline membrane outer layer protein 1 homolog
Q7Z5L2	Coiled-coil domain-containing protein R3HCC1L
Q7Z5L3	Complement C1q-like protein 2
Q7Z5L4	Spermatogenesis-associated protein 19, mitochondrial
Q7Z5L7	Podocan
Q7Z5L9	Interferon regulatory factor 2-binding protein 2
Q7Z5M5	Transmembrane channel-like protein 3
Q7Z5M8	Protein ABHD12B
Q7Z5N4	Protein sidekick-1
Q7Z5P4	17-beta-hydroxysteroid dehydrogenase 13
Q7Z5P9	Mucin-19
Q7Z5Q1	Cytoplasmic polyadenylation element-binding protein 2
Q7Z5Q5	DNA polymerase nu
Q7Z5R6	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Q7Z5S9	Transmembrane protein 144
Q7Z5U6	WD repeat-containing protein 53
Q7Z5V6	Protein phosphatase 1 regulatory subunit 32
Q7Z5W3	Pre-miRNA 5'-monophosphate methyltransferase
Q7Z5Y6	Bone morphogenetic protein 8A
Q7Z5Y7	BTB/POZ domain-containing protein KCTD20
Q7Z601	Probable G-protein coupled receptor 142
Q7Z602	Probable G-protein coupled receptor 141
Q7Z614	Sorting nexin-20
Q7Z624	Calmodulin-lysine N-methyltransferase
Q7Z628	Neuroepithelial cell-transforming gene 1 protein
Q7Z692	Carcinoembryonic antigen-related cell adhesion molecule 19
Q7Z695	Uncharacterized aarF domain-containing protein kinase 2
Q7Z698	Sprouty-related, EVH1 domain-containing protein 2
Q7Z699	Sprouty-related, EVH1 domain-containing protein 1
Q7Z6A9	B- and T-lymphocyte attenuator
Q7Z6B0	Coiled-coil domain-containing protein 91
Q7Z6B7	SLIT-ROBO Rho GTPase-activating protein 1
Q7Z6E9	E3 ubiquitin-protein ligase RBBP6
Q7Z6G3	N-terminal EF-hand calcium-binding protein 2
Q7Z6G8	Ankyrin repeat and sterile alpha motif domain-containing protein 1B
Q7Z6I5	Spermatogenesis-associated protein 12
Q7Z6I6	Rho GTPase-activating protein 30
Q7Z6I8	UPF0461 protein C5orf24
Q7Z6J0	E3 ubiquitin-protein ligase SH3RF1
Q7Z6J2	General receptor for phosphoinositides 1-associated scaffold protein
Q7Z6J4	FYVE, RhoGEF and PH domain-containing protein 2
Q7Z6J6	FERM domain-containing protein 5
Q7Z6J8	E3 ubiquitin-protein ligase E3D
Q7Z6J9	tRNA-splicing endonuclease subunit Sen54
Q7Z6K1	THAP domain-containing protein 5
Q7Z6K3	Protein prenyltransferase alpha subunit repeat-containing protein 1
Q7Z6K4	Notch-regulated ankyrin repeat-containing protein
Q7Z6K5	Arpin
Q7Z6L0	Proline-rich transmembrane protein 2
Q7Z6L1	Tectonin beta-propeller repeat-containing protein 1
Q7Z6M1	Rab9 effector protein with kelch motifs
Q7Z6M2	F-box only protein 33
Q7Z6M3	Allergin-1
Q7Z6M4	Transcription termination factor 4, mitochondrial
Q7Z6P3	Ras-related protein Rab-44
Q7Z6R9	Transcription factor AP-2-delta
Q7Z6V5	tRNA-specific adenosine deaminase 2
Q7Z6W1	Transmembrane and coiled-coil domain-containing protein 2
Q7Z6W7	DnaJ homolog subfamily B member 7
Q7Z6Z6	Patatin-like phospholipase domain-containing protein 5
Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1
Q7Z713	Ankyrin repeat domain-containing protein 37
Q7Z736	Pleckstrin homology domain-containing family H member 3
Q7Z739	YTH domain-containing family protein 3
Q7Z745	Maestro heat-like repeat-containing protein family member 2B
Q7Z769	Solute carrier family 35 member E3
Q7Z794	Keratin, type II cytoskeletal 1b
Q7Z7A1	Centriolin
Q7Z7A3	Cytoplasmic tRNA 2-thiolation protein 1
Q7Z7A4	PX domain-containing protein kinase-like protein
Q7Z7B0	Filamin-A-interacting protein 1
Q7Z7B1	Phosphatidylinositol-glycan biosynthesis class W protein
Q7Z7B7	Beta-defensin 132
Q7Z7B8	Beta-defensin 128
Q7Z7C7	Stimulated by retinoic acid gene 8 protein homolog
Q7Z7C8	Transcription initiation factor TFIID subunit 8
Q7Z7D3	V-set domain-containing T-cell activation inhibitor 1
Q7Z7E8	Ubiquitin-conjugating enzyme E2 Q1
Q7Z7F0	KH homology domain-containing protein 4
Q7Z7F7	39S ribosomal protein L55, mitochondrial
Q7Z7G0	Target of Nesh-SH3
Q7Z7G1	Cytokine-dependent hematopoietic cell linker
Q7Z7G2	Complexin-4
Q7Z7G8	Vacuolar protein sorting-associated protein 13B
Q7Z7H3	Ciliogenesis-associated TTC17-interacting protein
Q7Z7H5	Transmembrane emp24 domain-containing protein 4
Q7Z7H8	39S ribosomal protein L10, mitochondrial
Q7Z7J5	Developmental pluripotency-associated protein 2
Q7Z7J7	LHFPL tetraspan subfamily member 4 protein
Q7Z7J9	Calcium/calmodulin-dependent protein kinase II inhibitor 1
Q7Z7K0	COX assembly mitochondrial protein homolog
Q7Z7K2	Zinc finger protein 467
Q7Z7K6	Centromere protein V
Q7Z7L1	Schlafen family member 11
Q7Z7L7	Protein zer-1 homolog
Q7Z7L8	Uncharacterized protein C11orf96
Q7Z7L9	Zinc finger and SCAN domain-containing protein 2
Q7Z7M0	Multiple epidermal growth factor-like domains protein 8
Q7Z7M1	Adhesion G-protein coupled receptor D2
Q7Z7M8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8
Q7Z7M9	Polypeptide N-acetylgalactosaminyltransferase 5
Q7Z7N9	Transmembrane protein 179B
Q86SE5	RNA-binding Raly-like protein
Q86SE8	Nucleoplasmin-2
Q86SE9	Polycomb group RING finger protein 5
Q86SF2	N-acetylgalactosaminyltransferase 7
Q86SG2	Ankyrin repeat domain-containing protein 23
Q86SG3	Deleted in azoospermia protein 4
Q86SG4	Putative Dresden prostate carcinoma protein 2
Q86SG5	Protein S100-A7A
Q86SG6	Serine/threonine-protein kinase Nek8
Q86SG7	Lysozyme g-like protein 2
Q86SH2	Zygote arrest protein 1
Q86SH4	Putative testis-specific prion protein
Q86SI9	Protein CEI
Q86SJ2	Amphoterin-induced protein 2
Q86SJ6	Desmoglein-4
Q86SK9	Stearoyl-CoA desaturase 5
Q86SM5	Mas-related G-protein coupled receptor member G
Q86SM8	Mas-related G-protein coupled receptor member E
Q86SP6	Probable G-protein coupled receptor 149
Q86SQ0	Pleckstrin homology-like domain family B member 2
Q86SQ3	Putative adhesion G protein-coupled receptor E4P
Q86SQ4	Adhesion G-protein coupled receptor G6
Q86SQ6	Adhesion G protein-coupled receptor A1
Q86SQ7	Serologically defined colon cancer antigen 8
Q86SQ9	Dehydrodolichyl diphosphate synthase complex subunit DHDDS
Q86SR1	Polypeptide N-acetylgalactosaminyltransferase 10
Q86SS6	Synaptotagmin-9
Q86SU0	Immunoglobulin-like domain-containing receptor 1
Q86SX3	Tubulin epsilon and delta complex protein 1
Q86SX6	Glutaredoxin-related protein 5, mitochondrial
Q86SY8	Putative uncharacterized protein KTN1-AS1
Q86SZ2	Trafficking protein particle complex subunit 6B
Q86T03	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase
Q86T13	C-type lectin domain family 14 member A
Q86T20	Small integral membrane protein 29
Q86T23	Putative ciliary rootlet coiled-coil protein-like 1 protein
Q86T24	Transcriptional regulator Kaiso
Q86T26	Transmembrane protease serine 11B
Q86T29	Zinc finger protein 605
Q86T65	Disheveled-associated activator of morphogenesis 2
Q86T75	Neuroblastoma breakpoint family member 11
Q86T82	Ubiquitin carboxyl-terminal hydrolase 37
Q86T90	Protein hinderin
Q86T96	E3 ubiquitin-protein ligase RNF180
Q86TA1	MOB kinase activator 3B
Q86TA4	Putative uncharacterized protein FLJ44553
Q86TB3	Alpha-protein kinase 2
Q86TB9	Protein PAT1 homolog 1
Q86TC9	Myopalladin
Q86TD4	Sarcalumenin
Q86TE4	Leucine zipper protein 2
Q86TG1	Transmembrane protein 150A
Q86TG7	Retrotransposon-derived protein PEG10
Q86TH1	ADAMTS-like protein 2
Q86TI0	TBC1 domain family member 1
Q86TI2	Dipeptidyl peptidase 9
Q86TI4	WD repeat-containing protein 86
Q86TJ2	Transcriptional adapter 2-beta
Q86TJ5	Zinc finger protein 554
Q86TL0	Cysteine protease ATG4D
Q86TL2	Store-operated calcium entry regulator STIMATE
Q86TM3	Probable ATP-dependent RNA helicase DDX53
Q86TM6	E3 ubiquitin-protein ligase synoviolin
Q86TN4	tRNA 2'-phosphotransferase 1
Q86TP1	Exopolyphosphatase PRUNE1
Q86TS7	Putative UPF0730 protein encoded by LINC00643
Q86TS9	39S ribosomal protein L52, mitochondrial
Q86TU6	Putative uncharacterized protein encoded by LINC00523
Q86TU7	Histone-lysine N-methyltransferase setd3
Q86TV6	Tetratricopeptide repeat protein 7B
Q86TW2	Uncharacterized aarF domain-containing protein kinase 1
Q86TX2	Acyl-coenzyme A thioesterase 1
Q86TY3	Armadillo-like helical domain-containing protein 4
Q86TZ1	Tetratricopeptide repeat protein 6
Q86U02	Putative uncharacterized protein encoded by LINC00596
Q86U06	Probable RNA-binding protein 23
Q86U10	60 kDa lysophospholipase
Q86U17	Serpin A11
Q86U28	Iron-sulfur cluster assembly 2 homolog, mitochondrial
Q86U37	Uncharacterized protein encoded by LINC01551
Q86U38	Nucleolar protein 9
Q86U42	Polyadenylate-binding protein 2
Q86U44	N6-adenosine-methyltransferase catalytic subunit
Q86U70	LIM domain-binding protein 1
Q86U86	Protein polybromo-1
Q86U90	YrdC domain-containing protein, mitochondrial
Q86UA1	Pre-mRNA-processing factor 39
Q86UA6	RPA-interacting protein
Q86UB2	Basic immunoglobulin-like variable motif-containing protein
Q86UB9	Transmembrane protein 135
Q86UC2	Radial spoke head protein 3 homolog
Q86UD0	Suppressor APC domain-containing protein 2
Q86UD1	Out at first protein homolog
Q86UD3	E3 ubiquitin-protein ligase MARCH3
Q86UD4	Zinc finger protein 329
Q86UD5	Sodium/hydrogen exchanger 9B2
Q86UD7	TBC1 domain family member 26
Q86UE3	Zinc finger protein 546
Q86UE4	Protein LYRIC
Q86UE6	Leucine-rich repeat transmembrane neuronal protein 1
Q86UE8	Serine/threonine-protein kinase tousled-like 2
Q86UF1	Tetraspanin-33
Q86UF2	cTAGE family member 6
Q86UF4	Coiled-coil domain-containing protein 190
Q86UG4	Solute carrier organic anion transporter family member 6A1
Q86UK0	ATP-binding cassette sub-family A member 12
Q86UK5	Limbin
Q86UK7	E3 ubiquitin-protein ligase ZNF598
Q86UL3	Glycerol-3-phosphate acyltransferase 4
Q86UL8	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2
Q86UN2	Reticulon-4 receptor-like 1
Q86UN3	Reticulon-4 receptor-like 2
Q86UN6	A-kinase anchor protein 14
Q86UP0	Cadherin-24
Q86UP2	Kinectin
Q86UP3	Zinc finger homeobox protein 4
Q86UP6	CUB and zona pellucida-like domain-containing protein 1
Q86UP8	General transcription factor II-I repeat domain-containing protein 2A
Q86UP9	LHFPL tetraspan subfamily member 3 protein
Q86UQ0	Zinc finger protein 589
Q86UQ4	ATP-binding cassette sub-family A member 13
Q86UQ5	Gilles de la Tourette syndrome chromosomal region candidate gene 1 protein
Q86UQ8	Transcription factor NF-E4
Q86UR1	NADPH oxidase activator 1
Q86UR5	Regulating synaptic membrane exocytosis protein 1
Q86US8	Telomerase-binding protein EST1A
Q86UT5	Na(+)/H(+) exchange regulatory cofactor NHE-RF4
Q86UT6	NLR family member X1
Q86UT8	Coiled-coil domain-containing protein 84
Q86UU0	B-cell CLL/lymphoma 9-like protein
Q86UU1	Pleckstrin homology-like domain family B member 1
Q86UU5	Gametogenetin
Q86UU9	Tachykinin-4
Q86UV5	Ubiquitin carboxyl-terminal hydrolase 48
Q86UV6	Tripartite motif-containing protein 74
Q86UV7	Tripartite motif-containing protein 73
Q86UW1	Organic solute transporter subunit alpha
Q86UW2	Organic solute transporter subunit beta
Q86UW6	NEDD4-binding protein 2
Q86UW7	Calcium-dependent secretion activator 2
Q86UW8	Hyaluronan and proteoglycan link protein 4
Q86UW9	Probable E3 ubiquitin-protein ligase DTX2
Q86UX2	Inter-alpha-trypsin inhibitor heavy chain H5
Q86UX6	Serine/threonine-protein kinase 32C
Q86UX7	Fermitin family homolog 3
Q86UY5	Protein FAM83A
Q86UY6	N-alpha-acetyltransferase 40
Q86UY8	5'-nucleotidase domain-containing protein 3
Q86UZ6	Zinc finger and BTB domain-containing protein 46
Q86V15	Zinc finger protein castor homolog 1
Q86V20	Shieldin complex subunit 2
Q86V21	Acetoacetyl-CoA synthetase
Q86V24	Adiponectin receptor protein 2
Q86V25	Vasohibin-2
Q86V35	Calcium-binding protein 7
Q86V40	Metalloprotease TIKI1
Q86V42	Protein FAM124A
Q86V48	Leucine zipper protein 1
Q86V59	Paraneoplastic antigen-like protein 8A
Q86V71	Zinc finger protein 429
Q86V81	THO complex subunit 4
Q86V85	Integral membrane protein GPR180
Q86V86	Serine/threonine-protein kinase pim-3
Q86V87	Protein FAM160B2
Q86V88	Magnesium-dependent phosphatase 1
Q86V97	Kelch repeat and BTB domain-containing protein 6
Q86VB7	Scavenger receptor cysteine-rich type 1 protein M130
Q86VD1	MORC family CW-type zinc finger protein 1
Q86VD7	Mitochondrial coenzyme A transporter SLC25A42
Q86VD9	GPI mannosyltransferase 4
Q86VE0	Myb-related transcription factor, partner of profilin
Q86VE3	Spermidine/spermine N(1)-acetyltransferase-like protein 1
Q86VE9	Serine incorporator 5
Q86VF2	Immunoglobulin-like and fibronectin type III domain-containing protein 1
Q86VF5	2-acylglycerol O-acyltransferase 3
Q86VF7	Nebulin-related-anchoring protein
Q86VG3	Uncharacterized protein C11orf74
Q86VH2	Kinesin-like protein KIF27
Q86VH4	Leucine-rich repeat transmembrane neuronal protein 4
Q86VH5	Leucine-rich repeat transmembrane neuronal protein 3
Q86VI1	Exocyst complex component 3-like protein
Q86VI3	Ras GTPase-activating-like protein IQGAP3
Q86VI4	Lysosomal-associated transmembrane protein 4B
Q86VK4	Zinc finger protein 410
Q86VL8	Multidrug and toxin extrusion protein 2
Q86VM9	Zinc finger CCCH domain-containing protein 18
Q86VN1	Vacuolar protein-sorting-associated protein 36
Q86VP1	Tax1-binding protein 1
Q86VP3	Phosphofurin acidic cluster sorting protein 2
Q86VP6	Cullin-associated NEDD8-dissociated protein 1
Q86VQ0	Lebercilin
Q86VQ1	Glucocorticoid-induced transcript 1 protein
Q86VQ3	Thioredoxin domain-containing protein 2
Q86VQ6	Thioredoxin reductase 3
Q86VR2	Reticulophagy regulator 3
Q86VR7	V-set and immunoglobulin domain-containing protein 10-like
Q86VR8	Four-jointed box protein 1
Q86VS3	IQ domain-containing protein H
Q86VS8	Protein Hook homolog 3
Q86VU5	Catechol O-methyltransferase domain-containing protein 1
Q86VV4	Ran-binding protein 3-like
Q86VV8	Rotatin
Q86VW0	SEC14 domain and spectrin repeat-containing protein 1
Q86VW1	Solute carrier family 22 member 16
Q86VW2	Rho guanine nucleotide exchange factor 25
Q86VX2	COMM domain-containing protein 7
Q86VX9	Vacuolar fusion protein MON1 homolog A
Q86VY4	Testis-specific Y-encoded-like protein 5
Q86VY9	Transmembrane protein 200A
Q86VZ1	P2Y purinoceptor 8
Q86VZ2	WD repeat-containing protein 5B
Q86VZ4	Low-density lipoprotein receptor-related protein 11
Q86VZ5	Phosphatidylcholine:ceramide cholinephosphotransferase 1
Q86VZ6	Juxtaposed with another zinc finger protein 1
Q86W10	Cytochrome P450 4Z1
Q86W11	Zinc finger and SCAN domain-containing protein 30
Q86W24	NACHT, LRR and PYD domains-containing protein 14
Q86W25	NACHT, LRR and PYD domains-containing protein 13
Q86W26	NACHT, LRR and PYD domains-containing protein 10
Q86W28	NACHT, LRR and PYD domains-containing protein 8
Q86W33	Transmembrane protein adipocyte-associated 1
Q86W34	Archaemetzincin-2
Q86W42	THO complex subunit 6 homolog
Q86W47	Calcium-activated potassium channel subunit beta-4
Q86W50	U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase
Q86W54	Spermatogenesis-associated protein 24
Q86W56	Poly(ADP-ribose) glycohydrolase
Q86W67	Protein FAM228A
Q86W74	Ankyrin repeat domain-containing protein 46
Q86W92	Liprin-beta-1
Q86WA6	Valacyclovir hydrolase
Q86WA8	Lon protease homolog 2, peroxisomal
Q86WA9	Sodium-independent sulfate anion transporter
Q86WB0	Nuclear-interacting partner of ALK
Q86WB7	Protein unc-93 homolog A
Q86WC4	Osteopetrosis-associated transmembrane protein 1
Q86WC6	Protein phosphatase 1 regulatory subunit 27
Q86WD7	Serpin A9
Q86WG3	Caytaxin
Q86WG5	Myotubularin-related protein 13
Q86WH2	Ras association domain-containing protein 3
Q86WI0	LHFPL tetraspan subfamily member 1 protein
Q86WI1	Fibrocystin-L
Q86WI3	Protein NLRC5
Q86WJ1	Chromodomain-helicase-DNA-binding protein 1-like
Q86WK6	Amphoterin-induced protein 1
Q86WK7	Amphoterin-induced protein 3
Q86WK9	Membrane progestin receptor alpha
Q86WN1	F-BAR and double SH3 domains protein 1
Q86WN2	Interferon epsilon
Q86WP2	Vasculin
Q86WQ0	Nuclear receptor 2C2-associated protein
Q86WR0	Coiled-coil domain-containing protein 25
Q86WR6	Uncharacterized protein C17orf64
Q86WR7	Proline and serine-rich protein 2
Q86WS3	Oocyte-secreted protein 2
Q86WS4	Uncharacterized protein C12orf40
Q86WS5	Transmembrane protease serine 12
Q86WT1	Tetratricopeptide repeat protein 30A
Q86WT6	E3 ubiquitin-protein ligase TRIM69
Q86WU2	Probable D-lactate dehydrogenase, mitochondrial
Q86WV1	Src kinase-associated phosphoprotein 1
Q86WV5	CST complex subunit TEN1
Q86WV6	Stimulator of interferon genes protein
Q86WW8	Cytochrome c oxidase assembly factor 5
Q86WX3	Active regulator of SIRT1
Q86WZ0	HEAT repeat-containing protein 4
Q86WZ6	Zinc finger protein 227
Q86X02	Cerebellar degeneration-related protein 2-like
Q86X10	Ral GTPase-activating protein subunit beta
Q86X19	Transmembrane protein 17
Q86X24	HORMA domain-containing protein 1
Q86X27	Ras-specific guanine nucleotide-releasing factor RalGPS2
Q86X29	Lipolysis-stimulated lipoprotein receptor
Q86X40	Leucine-rich repeat-containing protein 28
Q86X45	Protein tilB homolog
Q86X51	Uncharacterized protein CXorf67
Q86X52	Chondroitin sulfate synthase 1
Q86X53	Glutamate-rich protein 1
Q86X55	Histone-arginine methyltransferase CARM1
Q86X59	Putative uncharacterized protein C17orf82
Q86X60	Protein FAM72B
Q86X67	Nucleoside diphosphate-linked moiety X motif 13
Q86X76	Deaminated glutathione amidase
Q86X83	COMM domain-containing protein 2
Q86X95	Corepressor interacting with RBPJ 1
Q86XA0	Methyltransferase-like protein 23
Q86XA9	HEAT repeat-containing protein 5A
Q86XD5	Protein FAM131B
Q86XD8	AN1-type zinc finger protein 4
Q86XE0	Sorting nexin-32
Q86XE3	Calcium uptake protein 3, mitochondrial
Q86XE5	4-hydroxy-2-oxoglutarate aldolase, mitochondrial
Q86XF0	Dihydrofolate reductase 2, mitochondrial
Q86XF7	Zinc finger protein 575
Q86XG9	Putative neuroblastoma breakpoint family member 5
Q86XH1	Dynein regulatory complex protein 11
Q86XI2	Condensin-2 complex subunit G2
Q86XI6	Protein phosphatase 1 regulatory subunit 3B
Q86XI8	Uncharacterized protein ZSWIM9
Q86XJ0	Calcium homeostasis modulator protein 3
Q86XJ1	GAS2-like protein 3
Q86XK2	F-box only protein 11
Q86XK3	Swi5-dependent recombination DNA repair protein 1 homolog
Q86XK7	V-set and immunoglobulin domain-containing protein 1
Q86XL3	Ankyrin repeat and LEM domain-containing protein 2
Q86XM0	Cation channel sperm-associated protein subunit delta
Q86XN6	Zinc finger protein 761
Q86XN7	Proline and serine-rich protein 1
Q86XN8	RNA-binding protein MEX3D
Q86XP0	Cytosolic phospholipase A2 delta
Q86XP1	Diacylglycerol kinase eta
Q86XP3	ATP-dependent RNA helicase DDX42
Q86XP6	Gastrokine-2
Q86XQ3	Cation channel sperm-associated protein 3
Q86XR2	Niban-like protein 2
Q86XR5	Proline-rich membrane anchor 1
Q86XR7	TIR domain-containing adapter molecule 2
Q86XR8	Centrosomal protein of 57 kDa
Q86XS5	Angiopoietin-related protein 5
Q86XS8	E3 ubiquitin-protein ligase RNF130
Q86XT2	Vacuolar protein sorting-associated protein 37D
Q86XT4	E3 ubiquitin-protein ligase TRIM50
Q86XT9	Insulin-like growth factor-binding protein 3 receptor
Q86XU0	Zinc finger protein 677
Q86XW9	Thioredoxin domain-containing protein 6
Q86XX4	Extracellular matrix protein FRAS1
Q86XZ4	Spermatogenesis-associated serine-rich protein 2
Q86Y01	E3 ubiquitin-protein ligase DTX1
Q86Y07	Serine/threonine-protein kinase VRK2
Q86Y13	E3 ubiquitin-protein ligase DZIP3
Q86Y22	Collagen alpha-1(XXIII) chain
Q86Y25	Zinc finger protein 354C
Q86Y26	NUT family member 1
Q86Y27	B melanoma antigen 5
Q86Y28	B melanoma antigen 4
Q86Y29	B melanoma antigen 3
Q86Y30	B melanoma antigen 2
Q86Y33	Cell division cycle protein 20 homolog B
Q86Y34	Adhesion G protein-coupled receptor G3
Q86Y37	CDK2-associated and cullin domain-containing protein 1
Q86Y38	Xylosyltransferase 1
Q86Y39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
Q86Y46	Keratin, type II cytoskeletal 73
Q86Y56	Dynein assembly factor 5, axonemal
Q86Y78	Ly6/PLAUR domain-containing protein 6
Q86Y79	Probable peptidyl-tRNA hydrolase
Q86Y82	Syntaxin-12
Q86Y91	Kinesin-like protein KIF18B
Q86Y97	Histone-lysine N-methyltransferase KMT5C
Q86YA3	Protein ZGRF1
Q86YB7	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial
Q86YB8	ERO1-like protein beta
Q86YC2	Partner and localizer of BRCA2
Q86YC3	Negative regulator of reactive oxygen species
Q86YD1	Prostate tumor-overexpressed gene 1 protein
Q86YD3	Transmembrane protein 25
Q86YD5	Low-density lipoprotein receptor class A domain-containing protein 3
Q86YD7	Protein FAM90A1
Q86YE8	Zinc finger protein 573
Q86YF9	Zinc finger protein DZIP1
Q86YG4	5'-nucleotidase domain-containing protein 4
Q86YH2	Zinc finger protein 280B
Q86YH6	Decaprenyl-diphosphate synthase subunit 2
Q86YI8	PHD finger protein 13
Q86YJ5	E3 ubiquitin-protein ligase MARCH9
Q86YJ6	Threonine synthase-like 2
Q86YJ7	Ankyrin repeat domain-containing protein 13B
Q86YL5	Testis development-related protein
Q86YL7	Podoplanin
Q86YM7	Homer protein homolog 1
Q86YN1	Dolichyldiphosphatase 1
Q86YN6	Peroxisome proliferator-activated receptor gamma coactivator 1-beta
Q86YP4	Transcriptional repressor p66-alpha
Q86YQ2	Putative BPIFA4P protein
Q86YQ8	Copine-8
Q86YR5	G-protein-signaling modulator 1
Q86YR6	POTE ankyrin domain family member D
Q86YR7	Probable guanine nucleotide exchange factor MCF2L2
Q86YS3	Rab11 family-interacting protein 4
Q86YS6	Ras-related protein Rab-43
Q86YS7	C2 domain-containing protein 5
Q86YT5	Solute carrier family 13 member 5
Q86YT6	E3 ubiquitin-protein ligase MIB1
Q86YT9	Junctional adhesion molecule-like
Q86YV0	RAS protein activator like-3
Q86YV5	Tyrosine-protein kinase PRAG1
Q86YV6	Myosin light chain kinase family member 4
Q86YV9	Hermansky-Pudlak syndrome 6 protein
Q86YW0	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1
Q86YW5	Trem-like transcript 1 protein
Q86YW7	Glycoprotein hormone beta-5
Q86YW9	Mediator of RNA polymerase II transcription subunit 12-like protein
Q86YZ3	Hornerin
Q86Z02	Homeodomain-interacting protein kinase 1
Q86Z14	Beta-klotho
Q86Z20	Coiled-coil domain-containing protein 125
Q86Z23	Complement C1q-like protein 4
Q8HWS3	DNA-binding protein RFX6
Q8IU54	Interferon lambda-1
Q8IU57	Interferon lambda receptor 1
Q8IU60	m7GpppN-mRNA hydrolase
Q8IU68	Transmembrane channel-like protein 8
Q8IU80	Transmembrane protease serine 6
Q8IU81	Interferon regulatory factor 2-binding protein 1
Q8IU85	Calcium/calmodulin-dependent protein kinase type 1D
Q8IU89	Ceramide synthase 3
Q8IU99	Calcium homeostasis modulator protein 1
Q8IUA0	WAP four-disulfide core domain protein 8
Q8IUA7	ATP-binding cassette sub-family A member 9
Q8IUB2	WAP four-disulfide core domain protein 3
Q8IUB3	Protein WFDC10B
Q8IUB5	WAP four-disulfide core domain protein 13
Q8IUB9	Keratin-associated protein 19-1
Q8IUC0	Keratin-associated protein 13-1
Q8IUC1	Keratin-associated protein 11-1
Q8IUC2	Keratin-associated protein 8-1
Q8IUC3	Keratin-associated protein 7-1
Q8IUC4	Rhophilin-2
Q8IUC6	TIR domain-containing adapter molecule 1
Q8IUC8	Polypeptide N-acetylgalactosaminyltransferase 13
Q8IUD2	ELKS/Rab6-interacting/CAST family member 1
