Entry	Protein names	Gene names
Q9H9Q2	COP9 signalosome complex subunit 7b (SGN7b) (Signalosome subunit 7b) (JAB1-containing signalosome subunit 7b)	COPS7B CSN7B
Q9H4D0	Calsyntenin-2 (Alcadein-gamma) (Alc-gamma)	CLSTN2 CS2
Q9H4G1	Cystatin-9-like (Testatin)	CST9L CTES7B UNQ1835/PRO3543
Q9BR46	Putative uncharacterized protein C20orf78	C20orf78
Q9BQT9	Calsyntenin-3 (Alcadein-beta) (Alc-beta)	CLSTN3 CS3 KIAA0726
Q16527	Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2) (LIM domain only protein 5) (LMO-5) (Smooth muscle cell LIM protein) (SmLIM)	CSRP2 LMO5 SMLIM
A1L168	Uncharacterized protein C20orf202	C20orf202
Q8NBC4	Uncharacterized protein C20orf203	C20orf203
Q8NHU0	Cancer/testis antigen family 45 member A3 (Cancer/testis antigen 45-3) (Cancer/testis antigen 45-4) (Cancer/testis antigen 45A3) (Cancer/testis antigen 45A4) (Cancer/testis antigen family 45 member A4)	CT45A3 CT45-3 CT45-4 CT45A4
Q8WYA6	Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)	CTNNBL1 C20orf33 PP8304
O15194	CTD small phosphatase-like protein (CTDSP-like) (EC 3.1.3.16) (Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 3) (NIF-like protein) (Nuclear LIM interactor-interacting factor 1) (NLI-interacting factor 1) (Protein YA22) (hYA22) (RBSP3) (Small C-terminal domain phosphatase 3) (SCP3) (Small CTD phosphatase 3)	CTDSPL C3orf8 NIF1 NIFL SCP3 YA22
Q13363	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	CTBP1 CTBP
P56545	C-terminal-binding protein 2 (CtBP2)	CTBP2
Q8IWA5	Choline transporter-like protein 2 (Solute carrier family 44 member 2)	SLC44A2 CTL2 PSEC0210
Q8NI51	Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein) (Cancer/testis antigen 27) (CT27) (Zinc finger protein CTCF-T)	CTCFL BORIS
Q9HC47	Cutaneous T-cell lymphoma-associated antigen 1 (Protein cTAGE-1) (Cancer/testis antigen 21.1) (CT21.1)	CTAGE1 CTAGE2
P49711	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF
Q9Y5B0	RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (TFIIF-associating CTD phosphatase)	CTDP1 FCP1
O43246	Cationic amino acid transporter 4 (CAT-4) (CAT4) (Solute carrier family 7 member 4)	SLC7A4
Q6PD62	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	CTR9 KIAA0155 SH2BP1
Q7Z7A3	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (ATP-binding domain-containing protein 3) (Cancer-associated gene protein) (Cytoplasmic tRNA adenylyltransferase 1)	CTU1 ATPBD3 NCS6
Q9Y6A2	Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cytochrome P450 46A1)	CYP46A1 CYP46
P05181	Cytochrome P450 2E1 (EC 1.14.13.-) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J)	CYP2E1 CYP2E
Q9HB55	Cytochrome P450 3A43 (EC 1.14.14.1)	CYP3A43
Q7Z5Q1	Cytoplasmic polyadenylation element-binding protein 2 (CPE-BP2) (CPE-binding protein 2) (hCPEB-2)	CPEB2
Q96FN4	Copine-2 (Copine II)	CPNE2
Q6PUV4	Complexin-2 (Complexin II) (CPX II) (Synaphin-1)	CPLX2
P22792	Carboxypeptidase N subunit 2 (Carboxypeptidase N 83 kDa chain) (Carboxypeptidase N large subunit) (Carboxypeptidase N polypeptide 2) (Carboxypeptidase N regulatory subunit)	CPN2 ACBP
Q10570	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)	CPSF1 CPSF160
Q96L46	Calpain small subunit 2 (CSS2) (Calcium-dependent protease small subunit 2)	CAPNS2
Q16630	Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)	CPSF6 CFIM68
A6NMK7	Putative cleavage and polyadenylation specificity factor subunit 4-like protein	CPSF4L
A8MV24	Uncharacterized protein C17orf98	C17orf98
A2RUQ5	Uncharacterized protein C17orf102	C17orf102
Q6ZR85	Uncharacterized protein C17orf107	C17orf107
Q8N436	Inactive carboxypeptidase-like protein X2	CPXM2 CPX2 UNQ676/PRO1310
Q8N3J3	Uncharacterized protein C17orf53	C17orf53
Q68DL7	Uncharacterized protein C18orf63	C18orf63
J3KSC0	Putative uncharacterized protein encoded by LINC01387	LINC01387 C18orf64
Q6ZTR6	Putative uncharacterized protein C18orf65	C18orf65
P53673	Beta-crystallin A4 (Beta-A4 crystallin)	CRYBA4
Q5TA50	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	CPTP GLTPD1
P78560	Death domain-containing protein CRADD (Caspase and RIP adapter with death domain) (RIP-associated protein with a death domain)	CRADD RAIDD
P43320	Beta-crystallin B2 (Beta-B2 crystallin) (Beta-crystallin Bp)	CRYBB2 CRYB2 CRYB2A
Q9H3G5	Probable serine carboxypeptidase CPVL (EC 3.4.16.-) (Carboxypeptidase, vitellogenic-like) (Vitellogenic carboxypeptidase-like protein) (VCP-like protein) (hVLP)	CPVL VLP PSEC0124 UNQ197/PRO223
Q68CJ9	Cyclic AMP-responsive element-binding protein 3-like protein 3 (cAMP-responsive element-binding protein 3-like protein 3) (Transcription factor CREB-H) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 3]	CREB3L3 CREBH HYST1481
P16220	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)	CREB1
O75629	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	CREG1 CREG UNQ727/PRO1409
Q8IUH2	Protein CREG2	CREG2
Q9UGL9	Cysteine-rich C-terminal protein 1 (Protein NICE-1)	CRCT1 C1orf42 NICE1
Q96HD1	Cysteine-rich with EGF-like domain protein 1	CRELD1 CIRRIN UNQ188/PRO214
Q03060	cAMP-responsive element modulator (Inducible cAMP early repressor) (ICER)	CREM
P07315	Gamma-crystallin C (Gamma-C-crystallin) (Gamma-crystallin 2-1) (Gamma-crystallin 3)	CRYGC CRYG3
Q8IUR6	CREB3 regulatory factor (Luman recruitment factor) (LRF)	CREBRF C5orf41
O75177	Calcium-responsive transactivator (SS18-like protein 1) (SYT homolog 1)	SS18L1 CREST KIAA0693
Q86T23	Putative ciliary rootlet coiled-coil protein-like 1 protein (Ciliary rootlet coiled-coil protein pseudogene 2)	CROCCP2 CROCCL1
Q96RY5	Protein cramped-like (Cramped chromatin regulator homolog 1) (Hematological and neurological expressed 1-like protein)	CRAMP1 C16orf34 CRAMP1L HN1L KIAA1426
Q9UBG3	Cornulin (53 kDa putative calcium-binding protein) (53 kDa squamous epithelial-induced stress protein) (58 kDa heat shock protein) (Squamous epithelial heat shock protein 53) (Tumor-related protein)	CRNN C1orf10 DRC1 PDRC1 SEP53
P02489	Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4) [Cleaved into: Alpha-crystallin A(1-172); Alpha-crystallin A(1-168); Alpha-crystallin A(1-162)]	CRYAA CRYA1 HSPB4
Q9H336	Cysteine-rich secretory protein LCCL domain-containing 1 (CocoaCrisp) (Cysteine-rich secretory protein 10) (CRISP-10) (LCCL domain-containing cysteine-rich secretory protein 1) (Trypsin inhibitor Hl)	CRISPLD1 CRISP10 LCRISP1 UNQ342/PRO541
Q8NEA5	Uncharacterized protein C19orf18	C19orf18
Q9UFG5	UPF0449 protein C19orf25	C19orf25
Q9H6X5	Uncharacterized protein C19orf44	C19orf44
Q8N9M1	Uncharacterized protein C19orf47	C19orf47
Q9Y2S2	Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH)	CRYL1 CRY
Q14894	Ketimine reductase mu-crystallin (EC 1.5.1.25) (NADP-regulated thyroid-hormone-binding protein)	CRYM THBP
O75534	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR
Q8WXE0	Caskin-2 (CASK-interacting protein 2)	CASKIN2 KIAA1139
P09919	Granulocyte colony-stimulating factor (G-CSF) (Pluripoietin) (Filgrastim) (Lenograstim)	CSF3 C17orf33 GCSF
Q9BT78	COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)	COPS4 CSN4
Q9BQM9	Uncharacterized protein C20orf144 (Bcl-2-like protein from testis) (Bclt)	C20orf144
P0C5K7	Cancer/testis antigen 62 (CT62)	CT62
Q12996	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)	CSTF3
P0DMU7	Cancer/testis antigen family 45 member A6 (Cancer/testis antigen 45-6) (Cancer/testis antigen 45A6)	CT45A6 CT45-6
P0DMV0	Cancer/testis antigen family 45 member A7 (Cancer/testis antigen 45A7)	CT45A7
P0DMV1	Cancer/testis antigen family 45 member A8 (Cancer/testis antigen 45A8)	CT45A8
P0DMV2	Cancer/testis antigen family 45 member A9 (Cancer/testis antigen 45A9)	CT45A9
P0DMU9	Cancer/testis antigen family 45 member A10 (Cancer/testis antigen 45A10)	CT45A10
P0CG13	Chromosome transmission fidelity protein 8 homolog (hCTF8)	CHTF8 CTF8
P16410	Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152)	CTLA4 CD152
Q8WWI5	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)	SLC44A1 CD92 CDW92 CTL1
P35222	Catenin beta-1 (Beta-catenin)	CTNNB1 CTNNB OK/SW-cl.35 PRO2286
Q8WY07	Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3)	SLC7A3 ATRC3 CAT3
P58512	Uncharacterized protein encoded by LINC01547	LINC01547 C21orf67 C21orf69
Q9NV44	Putative uncharacterized protein encoded by LINC00846	LINC00846 C21orf77
Q86XQ3	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	CATSPER3
Q6GPI1	Chymotrypsinogen B2 (EC 3.4.21.1) [Cleaved into: Chymotrypsin B2 chain A; Chymotrypsin B2 chain B; Chymotrypsin B2 chain C]	CTRB2
O60494	Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor)	CUBN IFCR
Q13616	Cullin-1 (CUL-1)	CUL1
O60888	Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor)	CUTA ACHAP C6orf82
Q13618	Cullin-3 (CUL-3)	CUL3 KIAA0617
Q6XXX2	Putative uncharacterized protein encoded by LINC00114	LINC00114 C21orf24 NCRNA00114
Q8WYQ4	Uncharacterized protein C22orf15 (Protein N27C7-3)	C22orf15
Q9P013	Spliceosome-associated protein CWC15 homolog	CWC15 C11orf5 AD-002 HSPC148
Q6IC83	Uncharacterized protein C22orf42	C22orf42
Q6UX04	Spliceosome-associated protein CWC27 homolog (Antigen NY-CO-10) (Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homolog) (PPIase CWC27) (Serologically defined colon cancer antigen 10)	CWC27 SDCCAG10 UNQ438/PRO871
A6NGU7	Putative uncharacterized protein encoded by LINC01546	LINC01546 CXorf28
Q8TE69	Protein CXorf40A (Endothelial-overexpressed lipopolysaccharide-associated factor 1)	CXorf40A CXorf40 EOLA1
Q96DE9	Protein CXorf40B	CXorf40B
Q9H5V9	UPF0428 protein CXorf56	CXorf56
Q969M2	Gap junction alpha-10 protein (Connexin-62) (Cx62)	GJA10 CX62
Q96D31	Calcium release-activated calcium channel protein 1 (Protein orai-1) (Transmembrane protein 142A)	ORAI1 CRACM1 TMEM142A
P23508	Colorectal mutant cancer protein (Protein MCC)	MCC
Q6UXH1	Cysteine-rich with EGF-like domain protein 2	CRELD2 UNQ185/PRO211
P07320	Gamma-crystallin D (Gamma-D-crystallin) (Gamma-crystallin 4)	CRYGD CRYG4
P24387	Corticotropin-releasing factor-binding protein (CRF-BP) (CRF-binding protein) (Corticotropin-releasing hormone-binding protein) (CRH-BP)	CRHBP CRFBP
P11844	Gamma-crystallin A (Gamma-A-crystallin) (Gamma-crystallin 5)	CRYGA CRYG1
O75462	Cytokine receptor-like factor 1 (Cytokine-like factor 1) (CLF-1) (ZcytoR5)	CRLF1 UNQ288/PRO327
Q9HC73	Cytokine receptor-like factor 2 (Cytokine receptor-like 2) (IL-XR) (Thymic stromal lymphopoietin protein receptor) (TSLP receptor)	CRLF2 CRL2 ILXR TSLPR
Q8IUI8	Cytokine receptor-like factor 3 (Cytokine receptor-like molecule 9) (CREME-9) (Cytokine receptor-related protein 4) (Type I cytokine receptor-like factor p48)	CRLF3 CREME9 CRLM9 CYTOR4 P48
Q5TZA2	Rootletin (Ciliary rootlet coiled-coil protein)	CROCC KIAA0445
P46109	Crk-like protein	CRKL
A5YM72	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1 KIAA1394
P46108	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK
O14936	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	CASK LIN2
Q96S65	Cysteine/serine-rich nuclear protein 1 (CSRNP-1) (Axin-1 up-regulated gene 1 protein) (Protein URAX1) (TGF-beta-induced apoptosis protein 3) (TAIP-3)	CSRNP1 AXUD1 TAIP3
Q9NUD7	Uncharacterized protein C20orf96	C20orf96
Q5TEA3	Uncharacterized protein C20orf194	C20orf194
Q9P2B4	CTTNBP2 N-terminal-like protein	CTTNBP2NL KIAA1433
O94985	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	CLSTN1 CS1 KIAA0911
P0CG12	Chromosome transmission fidelity protein 8 homolog isoform 2 (Decreased expression in renal and prostate cancer protein)	CHTF8 DERPC
Q8N4M1	Choline transporter-like protein 3 (Solute carrier family 44 member 3)	SLC44A3 CTL3 UNQ558/PRO1115
P0CG41	cTAGE family member 8 (Protein cTAGE-8)	CTAGE8
A4FU28	cTAGE family member 9 (Protein cTAGE-9)	CTAGE9
P52569	Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)	SLC7A2 ATRC2 CAT2
P30825	High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter)	SLC7A1 ATRC1 ERR REC1L
Q9UQB3	Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)	CTNND2 NPRAP
P59091	Putative uncharacterized protein encoded by LINC00315	LINC00315 C21orf93 NCRNA00315
Q9UJ94	Putative uncharacterized protein encoded by LINC00527	LINC00527 C21orf104
Q6ZN03	Putative uncharacterized protein encoded by LINC00322	LINC00322 C21orf136 NCRNA00322
Q86XM0	Cation channel sperm-associated protein subunit delta (CatSper-delta) (CatSperdelta) (Transmembrane protein 146)	CATSPERD TMEM146
Q86UP6	CUB and zona pellucida-like domain-containing protein 1 (CUB and ZP domain-containing protein 1) (Transmembrane protein UO-44)	CUZD1 UNQ224/PRO257
Q5VT33	Putative uncharacterized protein encoded by LINC01545	LINC01545 CXorf31
P12074	Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver) (Cytochrome c oxidase subunit VIA-liver) (COX VIa-L)	COX6A1 COX6AL
Q96LI9	Putative uncharacterized protein CXorf58	CXorf58
A0A1B0GTR3	Uncharacterized protein CXorf51A	CXorf51A CXorf51
P14854	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)	COX6B1 COX6B
P49238	CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28)	CX3CR1 CMKBRL1 GPR13
P08034	Gap junction beta-1 protein (Connexin-32) (Cx32) (GAP junction 28 kDa liver protein)	GJB1 CX32
Q8TF08	Cytochrome c oxidase subunit 7B2, mitochondrial (Cytochrome c oxidase polypeptide VIIb2)	COX7B2
P25024	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	CXCR1 CMKAR1 IL8RA
O95377	Gap junction beta-5 protein (Connexin-31.1) (Cx31.1)	GJB5
O95452	Gap junction beta-6 protein (Connexin-30) (Cx30)	GJB6
P78310	Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)	CXADR CAR
P19875	C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)]	CXCL2 GRO2 GROB MIP2A SCYB2
Q5T442	Gap junction gamma-2 protein (Connexin-46.6) (Cx46.6) (Connexin-47) (Cx47) (Gap junction alpha-12 protein)	GJC2 GJA12
Q9P0U4	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	CXXC1 CFP1 CGBP PCCX1 PHF18
Q6XZF7	Dynamin-binding protein (Scaffold protein Tuba)	DNMBP KIAA1010
Q86TI2	Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 2) (DPRP-2) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9)	DPP9 DPRP2
Q7Z7J5	Developmental pluripotency-associated protein 2 (Pluripotent embryonic stem cell-related gene 1 protein)	DPPA2 PESCRG1
Q6W0C5	Developmental pluripotency-associated protein 3 (Stella-related protein)	DPPA3 STELLAR
Q02487	Desmocollin-2 (Cadherin family member 2) (Desmocollin-3) (Desmosomal glycoprotein II) (Desmosomal glycoprotein III)	DSC2 CDHF2 DSC3
Q9H410	Kinetochore-associated protein DSN1 homolog	DSN1 C20orf172 MIS13
Q16828	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST1) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	DUSP6 MKP3 PYST1
Q8IYY4	Zinc finger protein DZIP1L (DAZ-interacting protein 1-like protein)	DZIP1L
P19525	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR
Q9NZJ5	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)	EIF2AK3 PEK PERK
Q9H329	Band 4.1-like protein 4B (FERM-containing protein CG1) (Protein EHM2)	EPB41L4B EHM2 LULU2
Q01094	Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1)	E2F1 RBBP3
P43005	Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)	SLC1A1 EAAC1 EAAT3
Q6P2I7	Endogenous Bornavirus-like nucleoprotein 2 (Endogenous Borna-like N element-2) (EBLN-2)	EBLN2 GK006
O95672	Endothelin-converting enzyme-like 1 (EC 3.4.24.-) (Xce protein)	ECEL1 XCE UNQ2431/PRO4991
Q3B7T1	Erythroid differentiation-related factor 1	EDRF1 C10orf137
P0DPD8	EEF1AKMT4-ECE2 readthrough transcript protein (EC 3.4.24.71) [Includes: Methyltransferase-like region (EC 2.1.1.-); Endothelin-converting enzyme 2 region (EC 3.4.24.71)]	EEF1AKMT4-ECE2
Q8N7U6	EF-hand domain-containing family member B	EFHB
Q15768	Ephrin-B3 (EPH-related receptor transmembrane ligand ELK-L3) (EPH-related receptor tyrosine kinase ligand 8) (LERK-8)	EFNB3 EPLG8 LERK8
Q13144	Translation initiation factor eIF-2B subunit epsilon (eIF-2B GDP-GTP exchange factor subunit epsilon)	EIF2B5 EIF2BE
Q8N140	EP300-interacting inhibitor of differentiation 3 (EID-3) (E1A-like inhibitor of differentiation 3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B)	EID3
Q13347	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	EIF3I EIF3S2 TRIP1
P50402	Emerin	EMD EDMD STA
O43402	ER membrane protein complex subunit 8 (Neighbor of COX4) (Protein FAM158B)	EMC8 C16orf2 C16orf4 COX4AL COX4NB FAM158B NOC4
Q9Y6C2	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	EMILIN1 EMI
Q04743	Homeobox protein EMX2 (Empty spiracles homolog 2) (Empty spiracles-like protein 2)	EMX2
Q8N8S7	Protein enabled homolog	ENAH MENA
P54852	Epithelial membrane protein 3 (EMP-3) (Hematopoietic neural membrane protein 1) (HNMP-1) (Protein YMP)	EMP3 YMP
Q6PCB8	Embigin	EMB
Q69384	Endogenous retrovirus group K member 6 Env polyprotein (EnvK2 protein) (Envelope polyprotein) (HERV-K(C7) envelope protein) (HERV-K(HML-2.HOM) envelope protein) (HERV-K108 envelope protein) (HERV-K_7p22.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERVK-6 ERVK6
Q902F8	Endogenous retrovirus group K member 8 Env polyprotein (EnvK6 protein) (Envelope polyprotein) (HERV-K115 envelope protein) (HERV-K_8p23.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERVK-8
Q9N2J8	HERV-H_2q24.1 provirus ancestral Env polyprotein (Env protein HERV-H/p59) (Envelope polyprotein) (HERV-H/env59) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	
Q6UWT2	Adropin (Energy homeostasis-associated protein)	ENHO C9orf165 UNQ470/PRO830
P61568	Putative endogenous retrovirus group K member 11-1 Env polyprotein (Envelope polyprotein) (HERV-K_1p13.3 provirus ancestral Env polyprotein) [Includes: Truncated surface protein (SU)]	ERVK11-1
Q9NX77	Endogenous retrovirus group K member 13-1 Env polyprotein (Envelope polyprotein) (HERV-K_16p13.3 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERVK13-1
O42043	Endogenous retrovirus group K member 18 Env polyprotein (Envelope polyprotein) (HERV-K(C1a) envelope protein) (HERV-K110 envelope protein) (HERV-K18 envelope protein) (HERV-K18 superantigen) (HERV-K_1q23.3 provirus ancestral Env polyprotein) (IDDMK1,2 22 envelope protein) (IDDMK1,2 22 superantigen) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERVK-18
Q7L5Y1	Mitochondrial enolase superfamily member 1 (EC 4.2.1.68) (Antisense RNA to thymidylate synthase) (rTS) (L-fuconate dehydratase)	ENOSF1 RTS TYMSAS
Q6ZN92	Putative inactive deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323 (dUTPase-like protein)	
Q6RFH8	Double homeobox protein 4C (Double homeobox protein 4, centromeric) (DUX4c) (Double homeobox protein 4-like protein 9)	DUX4L9 DUX4C
Q96PT3	Double homeobox protein 5	DUX5
O14641	Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2)	DVL2
Q05193	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM
Q03001	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728
Q9NVP4	Double zinc ribbon and ankyrin repeat-containing protein 1	DZANK1 C20orf12 C20orf84
Q8N1N2	Dynactin-associated protein (Full)	DYNAP C18orf26
Q9NR20	Dual specificity tyrosine-phosphorylation-regulated kinase 4 (EC 2.7.12.1)	DYRK4
Q96AV8	Transcription factor E2F7 (E2F-7)	E2F7
A0AVK6	Transcription factor E2F8 (E2F-8)	E2F8
Q9H4G0	Band 4.1-like protein 1 (Neuronal protein 4.1) (4.1N)	EPB41L1 KIAA0338
Q9P2K8	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	EIF2AK4 GCN2 KIAA1338
P48664	Excitatory amino acid transporter 4 (Sodium-dependent glutamate/aspartate transporter) (Solute carrier family 1 member 6)	SLC1A6 EAAT4
P43003	Excitatory amino acid transporter 1 (Sodium-dependent glutamate/aspartate transporter 1) (GLAST-1) (Solute carrier family 1 member 3)	SLC1A3 EAAT1 GLAST GLAST1
P55084	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	HADHB MSTP029
Q96DC8	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	ECHDC3 PP1494 PP8332
Q8WWZ3	Ectodysplasin-A receptor-associated adapter protein (EDAR-associated death domain protein) (Protein crinkled homolog)	EDARADD
Q9UNE0	Tumor necrosis factor receptor superfamily member EDAR (Anhidrotic ectodysplasin receptor 1) (Downless homolog) (EDA-A1 receptor) (Ectodermal dysplasia receptor) (Ectodysplasin-A receptor)	EDAR DL
Q9BV94	ER degradation-enhancing alpha-mannosidase-like protein 2	EDEM2 C20orf31 C20orf49 UNQ573/PRO1135
Q9BZQ6	ER degradation-enhancing alpha-mannosidase-like protein 3 (EC 3.2.1.113) (Alpha-1,2-mannosidase EDEM3)	EDEM3 C1orf22
P60507	Endogenous retrovirus group FC1 Env polyprotein (Envelope polyprotein) (Fc1env) (HERV-F(c)1_Xq21.33 provirus ancestral Env polyprotein) (HERV-Fc1env) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERVFC1
